"driverid","raceid","stintnumber","numberoflaps","startlap","tire"
"847","1016","2","59","10","C3"
"847","1017","2","8","26","C2"
"847","1019","2","30","22","C1"
"848","1016","2","58","2","C3"
"848","1017","2","27","26","C2"
"848","1019","2","39","14","C2"
"840","1020","2","18","8","Intermediate"
"840","1027","2","33","38","C2"
"840","1021","2","34","17","C2"
"841","1027","2","49","22","C2"
"841","1021","2","53","16","C2"
"8","1020","2","23","4","Intermediate"
"8","1027","2","37","16","C2"
"8","1021","2","40","30","C3"
"9","1020","2","16","8","Intermediate"
"9","1027","2","39","22","C2"
"9","1021","2","49","19","C2"
"9","1022","2","12","32","C3"
"807","1020","1","3","1","Wet"
"815","1020","1","1","1","Wet"
"822","1020","1","3","1","Wet"
"830","1021","1","25","1","C3"
"832","1021","1","29","1","C4"
"832","1022","1","1","1","C3"
"841","1020","1","3","1","Wet"
"842","1020","1","3","1","Wet"
"842","1021","1","28","1","C3"
"844","1020","1","3","1","Wet"
"844","1021","1","27","1","C3"
"846","1020","1","6","1","Wet"
"1","1024","1","26","1","C5"
"20","1024","1","19","1","C5"
"154","1024","1","23","1","C4"
"807","1024","1","1","1","C5"
"822","1024","1","22","1","C5"
"825","1023","1","20","1","C4"
"826","1023","1","28","1","C3"
"830","1024","1","19","1","C5"
"20","1020","2","21","3","Intermediate"
"20","1027","2","34","38","C2"
"20","1022","2","18","16","C2"
"154","1020","2","23","4","Intermediate"
"154","1027","2","32","38","C2"
"154","1021","2","30","20","C2"
"154","1022","2","27","17","C2"
"807","1027","2","52","19","C2"
"807","1021","2","33","37","C4"
"807","1022","2","20","12","C2"
"807","1023","2","24","30","C3"
"815","1021","2","51","19","C2"
"815","1022","2","29","16","C2"
"815","1023","2","25","29","C4"
"817","1020","2","10","4","Intermediate"
"817","1027","2","21","51","C3"
"832","1023","1","27","1","C4"
"832","1024","1","1","1","C5"
"840","1024","1","31","1","C4"
"841","1024","1","34","1","C4"
"842","1024","1","32","1","C3"
"844","1024","1","20","1","C5"
"846","1024","1","20","1","C5"
"848","1024","1","20","1","C5"
"9","1028","1","11","1","C3"
"20","1028","1","7","1","C3"
"154","1028","1","24","1","C3"
"825","1028","1","18","1","C3"
"840","1028","1","9","1","C3"
"841","1028","1","17","1","C3"
"842","1028","1","19","1","C4"
"847","1028","1","23","1","C3"
"1","1028","1","24","1","C3"
"1","1029","1","20","1","C3"
"8","1028","1","18","1","C4"
"8","1029","1","21","1","C3"
"9","1029","1","20","1","C2"
"20","1029","1","25","1","C3"
"154","1029","1","26","1","C3"
"807","1028","1","27","1","C2"
"807","1029","1","27","1","C2"
"815","1028","1","24","1","C3"
"815","1029","1","17","1","C3"
"817","1028","1","21","1","C4"
"817","1029","1","8","1","C2"
"822","1028","1","14","1","C3"
"822","1029","1","26","1","C3"
"825","1029","1","27","1","C3"
"826","1028","1","21","1","C2"
"826","1029","1","23","1","C2"
"830","1028","1","13","1","C3"
"830","1029","1","21","1","C3"
"832","1028","1","18","1","C4"
"832","1029","1","29","1","C3"
"840","1029","1","28","1","C3"
"841","1029","1","20","1","C3"
"842","1029","1","22","1","C3"
"844","1028","1","20","1","C3"
"844","1029","1","29","1","C2"
"846","1028","1","19","1","C4"
"846","1029","1","27","1","C3"
"847","1029","1","23","1","C2"
"848","1028","1","1","1","C4"
"848","1029","1","24","1","C3"
"1","1031","1","26","1","C4"
"8","1030","1","22","1","C4"
"9","1030","1","24","1","C3"
"20","1031","1","26","1","C3"
"154","1030","1","18","1","C4"
"807","1030","1","18","1","C5"
"815","1031","1","26","1","C4"
"817","1030","1","11","1","C5"
"822","1031","1","26","1","C4"
"825","1030","1","20","1","C4"
"832","1031","1","26","1","C4"
"839","1031","1","26","1","C3"
"840","1030","1","5","1","C4"
"841","1030","1","8","1","C5"
"841","1031","1","25","1","C3"
"842","1030","1","1","1","C4"
"842","1031","1","26","1","C3"
"844","1031","1","26","1","C4"
"846","1031","1","26","1","C4"
"847","1030","1","32","1","C3"
"849","1031","1","26","1","C3"
"1","1034","1","13","1","C2"
"8","1033","1","3","1","Intermediate"
"8","1034","1","12","1","C2"
"20","1034","1","12","1","C3"
"154","1033","1","1","1","C3"
"154","1034","1","36","1","C2"
"817","1034","1","12","1","C3"
"840","1038","1","26","1","C4"
"840","1010","1","27","1","C3"
"840","1022","1","14","1","C3"
"840","1037","1","11","1","C4"
"841","1038","1","20","1","C3"
"842","1038","1","19","1","C4"
"844","1038","1","17","1","C4"
"846","1038","1","22","1","C4"
"847","1038","1","22","1","C3"
"848","1038","1","22","1","C4"
"848","1023","1","26","1","C4"
"848","1037","1","11","1","C4"
"1","1038","1","20","1","C4"
"8","1038","1","18","1","C3"
"822","1034","1","13","1","C2"
"825","1034","1","1","1","C2"
"826","1033","1","1","1","Intermediate"
"826","1034","1","11","1","C2"
"830","1034","1","13","1","C2"
"830","1035","1","26","1","C2"
"832","1033","1","3","1","Intermediate"
"832","1034","1","13","1","C3"
"839","1033","1","4","1","Intermediate"
"839","1034","1","12","1","C3"
"840","1034","1","13","1","C2"
"841","1033","1","4","1","Intermediate"
"841","1034","1","12","1","C2"
"842","1033","1","3","1","Intermediate"
"842","1034","1","12","1","C2"
"844","1033","1","2","1","Intermediate"
"844","1034","1","13","1","C2"
"846","1033","1","4","1","Intermediate"
"846","1034","1","12","1","C3"
"847","1033","1","4","1","Intermediate"
"847","1034","1","12","1","C2"
"848","1034","1","6","1","C2"
"849","1033","1","3","1","Intermediate"
"849","1034","1","12","1","C2"
"1","1010","1","15","1","C4"
"1","1011","1","13","1","C3"
"8","1010","1","12","1","C4"
"8","1011","1","9","1","C3"
"9","1010","1","1","1","C2"
"20","1010","1","14","1","C4"
"20","1011","1","14","1","C3"
"154","1010","1","15","1","C4"
"807","1010","1","13","1","C4"
"815","1010","1","13","1","C4"
"815","1011","1","8","1","C3"
"817","1010","1","1","1","C4"
"822","1010","1","23","1","C4"
"822","1011","1","12","1","C3"
"825","1010","1","14","1","C4"
"825","1011","1","10","1","C3"
"826","1010","1","26","1","C3"
"826","1011","1","12","1","C3"
"830","1010","1","25","1","C4"
"830","1011","1","11","1","C3"
"832","1010","1","9","1","C4"
"841","1010","1","27","1","C3"
"841","1011","1","16","1","C3"
"842","1010","1","37","1","C3"
"842","1011","1","9","1","C3"
"844","1010","1","28","1","C4"
"844","1011","1","13","1","C3"
"846","1010","1","15","1","C4"
"846","1011","1","10","1","C3"
"847","1010","1","26","1","C3"
"848","1010","1","14","1","C4"
