"firstname","lastname","stint1tire","stint1lap","stint2tire","stint2lap","stint3tire","stint3lap","stint4tire","stint4lap","stint5tire","stint5lap","stint6tire","stint6lap","stint7tire","stint7lap","stint8tire","stint8lap","stint9tire","stint9lap","stint10tire","stint10lap","raceid","driverid"
"Antonio","Giovinazzi","C5","44","C4","32",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1015","841"
"Antonio","Giovinazzi","C3","33","C4","36",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1016","841"
"Antonio","Giovinazzi","C4","7","C2","27","C3","18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1017","841"
"Kimi","Raikkonen","C5","46","C4","31",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1015","8"
"Kimi","Raikkonen","C4","6","C3","52","C5","11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1016","8"
"Kimi","Raikkonen","C2","31","C3","21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1017","8"
"Kimi","Raikkonen","C2","17","C1","35",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1019","8"
"Robert","Kubica","C4","21","C3","56",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1015","9"
"Robert","Kubica","C4","8","C3","30","C3","29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1016","9"
"Robert","Kubica","C3","24","C2","27",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1017","9"
"Robert","Kubica","C3","19","C2","49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1018","9"
"Sebastian","Vettel","C4","26","C3","44",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1016","20"
"Sebastian","Vettel","C3","25","C2","26","C4","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1017","20"
"Sebastian","Vettel","C4","21","C2","29","C4","21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1018","20"
"Sebastian","Vettel","C3","20","C1","18","C2","13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1019","20"
"Romain","Grosjean","C5","50","C4","28",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1015","154"
"Romain","Grosjean","C4","34","C3","35",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1016","154"
"Romain","Grosjean","C2","31","C3","13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1017","154"
"Romain","Grosjean","C3","1","C1","8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1019","154"
"Nico","Hulkenberg","C4","9","C3","68",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1015","807"
"Nico","Hulkenberg","C5","16","C3","53",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1016","807"
"Nico","Hulkenberg","C2","34","C3","18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1017","807"
"Nico","Hulkenberg","C3","13","C1","39",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1019","807"
"Sergio","Perez","C4","11","C3","66",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1015","815"
"Sergio","Perez","C4","11","C3","58",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1016","815"
"Sergio","Perez","C3","18","C2","34",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1017","815"
"Sergio","Perez","C2","18","C1","6","C3","22","C3","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1019","815"
"Daniel","Ricciardo","C5","8","C3","61",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1016","817"
"Daniel","Ricciardo","C3","16","C2","36",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1017","817"
"Daniel","Ricciardo","C3","12","C2","8","C1","32",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1019","817"
"Valtteri","Bottas","C4","30","C3","37","C5","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1016","822"
"Valtteri","Bottas","C3","23","C2","30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1017","822"
"Valtteri","Bottas","C3","21","C2","50",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1018","822"
"Valtteri","Bottas","C2","16","C2","29","C3","7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1019","822"
"Kevin","Magnussen","C5","11","C4","66",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1015","825"
"Kevin","Magnussen","C3","39","C4","29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1016","825"
"Kevin","Magnussen","C3","16","C2","36",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1017","825"
"Kevin","Magnussen","C3","1","C1","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1019","825"
"Daniil","Kvyat","C4","12","C3","57",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1016","826"
"Daniil","Kvyat","C2","32","C3","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1017","826"
"Daniil","Kvyat","C3","12","C2","9","C1","31",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1019","826"
"Max","Verstappen","C3","48","C4","22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1016","830"
"Max","Verstappen","C3","20","C2","33",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1017","830"
"Max","Verstappen","C3","31","C2","40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1018","830"
"Carlos","Sainz","C5","3","C3","66",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1016","832"
"Carlos","Sainz","C3","19","C2","34",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1017","832"
"Carlos","Sainz","C3","41","C2","29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1018","832"
"Carlos","Sainz","C2","20","C1","32",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1019","832"
"Antonio","Giovinazzi","C2","18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1019","841"
"Pierre","Gasly","C5","7","C3","62",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1016","842"
"Pierre","Gasly","C4","17","C2","35",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1017","842"
"Pierre","Gasly","C4","25","C2","45",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1018","842"
"Pierre","Gasly","C2","12","C1","40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1019","842"
"Charles","Leclerc","C4","9","C3","7","C5","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1015","844"
"Charles","Leclerc","C4","33","C3","37",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1016","844"
"Charles","Leclerc","C3","21","C2","32",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1017","844"
"Charles","Leclerc","C4","22","C2","49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1018","844"
"Charles","Leclerc","C3","13","C2","8","C1","31",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1019","844"
"Lando","Norris","C4","47","C5","31",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1015","846"
"Lando","Norris","C3","18","C2","34",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1017","846"
"Lando","Norris","C4","25","C3","45",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1018","846"
"Lando","Norris","C3","13","C2","22","C1","17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1019","846"
"George","Russell","C4","10","C3","67",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1015","847"
"George","Russell","C4","9","C3","59",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1016","847"
"George","Russell","C3","25","C2","8","C3","18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1017","847"
"George","Russell","C2","21","C1","30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1019","847"
"Alexander","Albon","C4","1","C3","58",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1016","848"
"Alexander","Albon","C3","25","C2","27",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1017","848"
"Alexander","Albon","C3","13","C2","39",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1019","848"
"Lance","Stroll","Wet","7","Intermediate","18","C3","3","Intermediate","13","Intermediate","3","C4","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1020","840"
"Lance","Stroll","C3","37","C2","33",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1027","840"
"Lance","Stroll","C3","16","C2","34","C4","18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1021","840"
"Antonio","Giovinazzi","C3","21","C2","49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1027","841"
"Antonio","Giovinazzi","C3","15","C2","53",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1021","841"
"Kimi","Raikkonen","Wet","3","Intermediate","23","C3","2","Intermediate","19","C4","17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1020","8"
"Kimi","Raikkonen","C3","15","C2","37","C3","6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1027","8"
"Kimi","Raikkonen","C4","29","C3","40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1021","8"
"Robert","Kubica","Wet","7","Intermediate","16","Intermediate","8","Intermediate","15","C4","11","C4","7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1020","9"
"Robert","Kubica","C3","21","C2","39","C3","9",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1027","9"
"Robert","Kubica","C3","18","C2","49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1021","9"
"Robert","Kubica","C2","31","C3","12",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1022","9"
"Sebastian","Vettel","Wet","2","Intermediate","21","C4","5","Intermediate","13","Intermediate","6","C4","17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1020","20"
"Sebastian","Vettel","C3","37","C2","34",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1027","20"
"Sebastian","Vettel","C3","15","C2","18","C3","11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1022","20"
"Romain","Grosjean","Wet","3","Intermediate","23","C4","2","Intermediate","13","Intermediate","5","C4","18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1020","154"
"Romain","Grosjean","C3","37","C2","32",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1027","154"
"Romain","Grosjean","C4","19","C2","30",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1021","154"
"Romain","Grosjean","C3","16","C2","27",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1022","154"
"Nico","Hulkenberg","C3","18","C2","52",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1027","807"
"Nico","Hulkenberg","C3","36","C4","33",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1021","807"
"Nico","Hulkenberg","C3","11","C2","20","C3","13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1022","807"
"Nico","Hulkenberg","C4","29","C3","24",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1023","807"
"Sergio","Perez","C3","18","C2","51",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1021","815"
"Sergio","Perez","C3","15","C2","29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1022","815"
"Sergio","Perez","C3","28","C4","25",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1023","815"
"Daniel","Ricciardo","Wet","3","Intermediate","10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1020","817"
"Daniel","Ricciardo","C2","50","C3","21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1027","817"
"Daniel","Ricciardo","C2","46","C4","23",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1021","817"
"Daniel","Ricciardo","C3","1","C2","42",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1022","817"
"Valtteri","Bottas","C3","36","C2","35",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1027","822"
"Valtteri","Bottas","C3","5","C2","41","C3","23",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1021","822"
"Valtteri","Bottas","C3","23","C2","21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1022","822"
"Valtteri","Bottas","C4","27","C3","26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1023","822"
"Kevin","Magnussen","Wet","8","Intermediate","13","C4","8","Intermediate","13","Intermediate","3","C4","12","C4","7",NULL,NULL,NULL,NULL,NULL,NULL,"1020","825"
"Kevin","Magnussen","C3","28","C2","41",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1027","825"
"Kevin","Magnussen","C3","38","C4","31",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1021","825"
"Kevin","Magnussen","C3","25","C2","18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1022","825"
"Daniil","Kvyat","Wet","3","Intermediate","22","C4","3","Intermediate","17","C4","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1020","826"
"Daniil","Kvyat","C4","10","C2","34","C3","26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1027","826"
"Daniil","Kvyat","C3","21","C2","47",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1021","826"
"Daniil","Kvyat","C2","24","C3","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1022","826"
"Max","Verstappen","Wet","3","Intermediate","22","C3","4","Intermediate","12","Intermediate","5","C4","18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1020","830"
"Max","Verstappen","C3","5","C2","66",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1027","830"
"Max","Verstappen",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1022","830"
"Carlos","Sainz","Wet","3","Intermediate","24","Intermediate","19","C4","18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1020","832"
"Carlos","Sainz","C4","15","C2","20","C3","35",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1027","832"
"Antonio","Giovinazzi","C2","29","C3","13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1022","841"
"Pierre","Gasly","C4","9","C2","40","C3","21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1027","842"
"Pierre","Gasly","C3","13","C2","31",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1022","842"
"Charles","Leclerc","C3","15","C3","28","C2","28",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1027","844"
"Charles","Leclerc","C3","21","C2","23",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1022","844"
"Charles","Leclerc","C4","20","C2","33",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1023","844"
"Lando","Norris","C4","12","C2","36",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1027","846"
"Lando","Norris","C4","28","C2","41",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1021","846"
"Lando","Norris","C3","19","C2","24",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1022","846"
"George","Russell","Wet","7","Intermediate","17","Intermediate","17","Intermediate","6","C4","10","C4","7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1020","847"
"George","Russell","C3","22","C2","47",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1027","847"
"George","Russell","C3","16","C2","52",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1021","847"
"George","Russell","C2","30","C3","13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1022","847"
"Alexander","Albon","Wet","2","Intermediate","25","C4","1","Intermediate","18","C4","18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1020","848"
"Alexander","Albon","C3","14","C3","30","C2","27",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1027","848"
"Alexander","Albon","C3","28","C2","41",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1021","848"
"Alexander","Albon","C2","23","C3","21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1022","848"
"Lance","Stroll","C4","15","C3","7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1023","840"
"Lance","Stroll","C3","27","C4","26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1025","840"
"Lance","Stroll","C3","18","C2","33",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1026","840"
"Lance","Stroll","C4","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1031","840"
"Antonio","Giovinazzi","C4","21","C3","31",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1023","841"
"Antonio","Giovinazzi","C4","2","C2","25","C3","26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1025","841"
"Antonio","Giovinazzi","C2","18","C1","31","C3","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1026","841"
"Kimi","Raikkonen","C3","19","C4","7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1023","8"
"Kimi","Raikkonen","C4","15","C3","34",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1024","8"
"Kimi","Raikkonen","C3","27","C4","26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1025","8"
"Kimi","Raikkonen","C2","15","C1","21","C3","15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1026","8"
"Robert","Kubica","C3","29","C4","15","C3","7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1023","9"
"Robert","Kubica","C4","21","C3","23","C4","17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1024","9"
"Robert","Kubica","C3","1","C2","1","C3","26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1025","9"
"Robert","Kubica","C2","22","C1","11","C2","17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1026","9"
"Sebastian","Vettel","C4","6","C2","6","C3","29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1023","20"
"Sebastian","Vettel","C4","26","C3","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1025","20"
"Sebastian","Vettel","C3","16","C3","15","C2","21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1026","20"
