"firstname","lastname","stint1tire","stint1lap","stint2tire","stint2lap","stint3tire","stint3lap","stint4tire","stint4lap","stint5tire","stint5lap","stint6tire","stint6lap","stint7tire","stint7lap","stint8tire","stint8lap","stint9tire","stint9lap","stint10tire","stint10lap","raceid","driverid"
"Antonio","Giovinazzi","C4","24","C2","46",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1018","841"
"George","Russell","C3","27","C2","42",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1018","847"
"Alexander","Albon","C3","35","C2","35",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1018","848"
"Lewis","Hamilton","C3","31","C2","17","C3","22",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1021","1"
"Sebastian","Vettel","C3","39","C4","31",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1021","20"
"Nico","Hulkenberg","Wet","3","Intermediate","12","Intermediate","14","Intermediate","10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1020","807"
"Sergio","Perez","Wet","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1020","815"
"Valtteri","Bottas","Wet","3","Intermediate","23","C3","4","Intermediate","16","C4","10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1020","822"
"Max","Verstappen","C3","25","C2","42","C4","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1021","830"
"Carlos","Sainz","C4","29","C2","40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1021","832"
"Carlos","Sainz","C3","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1022","832"
